 Date COST.Open COST.High COST.Low COST.Close COST.Adjusted COST.Volume
0 1986-07-09 10.6875 11.0625 10.5625 11.0 7.73504 1116800
1 1986-07-10 11.0625 11.125 10.6875 10.9375 7.691091 595600
2 1986-07-11 10.875 10.9375 10.5625 10.5625 7.427396 800400
3 1986-07-14 10.625 10.625 10.125 10.25 7.207654 738000
4 1986-07-15 10.1875 10.1875 9.3125 9.9375 6.987906 2059200
5 1986-07-16 9.9375 10.5 9.9375 10.125 7.119755 1160400
6 1986-07-17 10.125 10.25 10.0 10.1875 7.163703 1046000
7 1986-07-18 10.1875 10.34375 10.0 10.25 7.207654 1420000
8 1986-07-21 10.25 10.3125 10.1875 10.25 7.207654 322800
9 1986-07-22 10.25 10.28125 10.1875 10.1875 7.163703 390800
10 1986-07-23 10.25 10.25 10.0 10.0625 7.075805 1004000
11 1986-07-24 10.0625 10.125 9.8125 9.9375 6.987906 1071600
12 1986-07-25 9.9375 10.125 9.875 10.0625 7.075805 688400
13 1986-07-28 10.0625 10.25 9.96875 10.125 7.119755 414800
14 1986-07-29 10.0 10.1875 10.0 10.1875 7.163703 278400
15 1986-07-30 10.0625 10.125 9.875 10.125 7.119755 459200
16 1986-07-31 10.125 10.25 10.0 10.0625 7.075805 1213600
17 1986-08-01 10.0 10.125 9.75 9.75 6.856061 1118000
18 1986-08-04 9.8125 9.8125 9.53125 9.75 6.856061 892400
19 1986-08-05 9.75 9.75 9.5 9.5625 6.724211 868800
20 1986-08-06 9.5625 9.625 9.125 9.125 6.416571 550400
21 1986-08-07 9.0 9.0625 8.125 8.375 5.889179 7560000
22 1986-08-08 8.4375 8.9375 8.375 8.875 6.240773 2802000
23 1986-08-11 9.0 9.125 8.875 9.125 6.416571 1428000
24 1986-08-12 9.125 9.4375 9.125 9.375 6.592363 1155200
25 1986-08-13 9.4375 10.09375 9.375 9.6875 6.812113 865600
26 1986-08-14 9.75 9.8125 9.375 9.5 6.680263 762000
27 1986-08-15 9.5 9.5 9.1875 9.375 6.592363 654400
28 1986-08-18 9.4375 9.875 9.25 9.6875 6.812113 606800
29 1986-08-19 9.75 9.75 9.5 9.5625 6.724211 2744000
30 1986-08-20 9.5625 9.5625 9.375 9.5 6.680263 500000
31 1986-08-21 9.5 9.5625 9.4375 9.4375 6.636316 353200
32 1986-08-22 9.5 9.5625 9.375 9.375 6.592363 286000
33 1986-08-25 9.5 9.5 9.125 9.25 6.504468 766400
34 1986-08-26 9.1875 9.375 9.1875 9.375 6.592363 408800
35 1986-08-27 9.375 9.375 9.1875 9.3125 6.548416 686400
36 1986-08-28 9.3125 9.3125 9.125 9.1875 6.460518 286000
37 1986-08-29 9.125 9.25 9.0625 9.125 6.416571 1128800
38 1986-09-02 9.1875 9.1875 8.6875 8.75 6.152874 916800
39 1986-09-03 8.75 8.9375 8.6875 8.9375 6.284722 684400
40 1986-09-04 9.0 9.3125 8.875 9.3125 6.548416 576800
41 1986-09-05 9.3125 9.4375 9.0 9.0 6.328672 961600
42 1986-09-08 9.125 9.125 8.625 8.75 6.152874 1793200
43 1986-09-09 8.6875 8.75 8.5 8.625 6.064977 388000
44 1986-09-10 8.625 8.625 8.5 8.5 5.977078 802400
45 1986-09-11 8.5625 8.5625 7.75 7.9375 5.581536 6240000
46 1986-09-12 7.875 7.9375 7.5625 7.625 5.361791 2066800
47 1986-09-15 7.625 7.75 7.4375 7.625 5.361791 1746800
48 1986-09-16 7.5625 7.625 7.3125 7.4375 5.229944 1547200
49 1986-09-17 7.5 7.5 7.0625 7.375 5.185994 997600
50 1986-09-18 7.375 8.75 7.375 8.75 6.152874 833200
51 1986-09-19 8.75 8.75 8.1875 8.5625 6.021028 928000
52 1986-09-22 8.5625 8.6875 8.375 8.5 5.977078 464000
53 1986-09-23 8.5625 8.5625 8.0625 8.25 5.80128 436400
54 1986-09-24 8.25 8.5625 8.125 8.5 5.977078 649600
55 1986-09-25 8.5 8.5 8.3125 8.3125 5.84523 305600
56 1986-09-26 8.3125 8.4375 8.25 8.3125 5.84523 278400
57 1986-09-29 8.375 8.375 8.0625 8.25 5.80128 724800
58 1986-09-30 8.1875 8.75 8.1875 8.5625 6.021028 773200
59 1986-10-01 8.6875 8.75 8.5625 8.5625 6.021028 668400
60 1986-10-02 8.5625 8.625 8.5625 8.5625 6.021028 592000
61 1986-10-03 8.625 8.625 8.25 8.375 5.889179 228000
62 1986-10-06 8.5 8.5 8.3125 8.4375 5.93313 467600
63 1986-10-07 8.375 8.5 8.375 8.4375 5.93313 176000
64 1986-10-08 8.5 8.625 8.4375 8.625 6.064977 558800
65 1986-10-09 8.625 8.625 8.375 8.4375 5.93313 243200
66 1986-10-10 8.4375 8.4375 8.25 8.3125 5.84523 238400
67 1986-10-13 8.375 8.375 8.0625 8.0625 5.669435 362800
68 1986-10-14 8.0625 8.625 8.0625 8.5 5.977078 612000
69 1986-10-15 8.5625 8.8125 8.5 8.75 6.152874 606800
70 1986-10-16 8.75 8.8125 8.6875 8.6875 6.108925 269200
71 1986-10-17 8.75 8.75 8.4375 8.5 5.977078 216000
72 1986-10-20 8.4375 8.5 8.0625 8.3125 5.84523 595200
73 1986-10-21 8.3125 8.3125 8.1875 8.1875 5.757333 327200
74 1986-10-22 8.3125 8.3125 8.1875 8.25 5.80128 396000
75 1986-10-23 8.3125 8.3125 8.25 8.28125 5.823256 1358400
76 1986-10-24 8.3125 8.375 8.25 8.3125 5.84523 809600
77 1986-10-27 8.375 8.375 8.25 8.3125 5.84523 305200
78 1986-10-28 8.25 8.5 8.25 8.5 5.977078 329200
79 1986-10-29 8.5 9.0 8.5 8.875 6.240773 835600
80 1986-10-30 8.875 9.1875 8.8125 9.0625 6.372621 973200
81 1986-10-31 9.0625 9.0625 8.875 9.0 6.328672 632400
82 1986-11-03 8.875 9.0625 8.875 9.0 6.328672 408800
83 1986-11-04 8.9375 9.0625 8.9375 8.9375 6.284722 283200
84 1986-11-05 9.0 9.0 8.875 8.875 6.240773 231200
85 1986-11-06 8.875 8.9375 8.5625 8.8125 6.196823 434000
86 1986-11-07 8.8125 8.9375 8.75 8.78125 6.174849 517200
87 1986-11-10 8.8125 8.8125 8.625 8.75 6.152874 503200
88 1986-11-11 8.8125 8.9375 8.6875 8.9375 6.284722 142000
89 1986-11-12 8.9375 9.03125 8.875 8.96875 6.306695 669600
90 1986-11-13 8.9375 9.0 8.375 8.375 5.889179 578800
91 1986-11-14 8.3125 8.4375 8.1875 8.375 5.889179 806000
92 1986-11-17 8.375 8.4375 8.25 8.375 5.889179 734400
93 1986-11-18 8.4375 8.4375 8.1875 8.25 5.80128 605600
94 1986-11-19 8.3125 8.375 8.1875 8.3125 5.84523 495600
95 1986-11-20 8.3125 8.5 8.3125 8.5 5.977078 828400
96 1986-11-21 8.5625 9.0 8.5 8.9375 6.284722 666800
97 1986-11-24 8.8125 9.25 8.8125 9.125 6.416571 715600
98 1986-11-25 9.0 9.125 8.9375 9.0 6.328672 424000
99 1986-11-26 8.9375 9.0625 8.9375 9.0625 6.372621 171600
100 1986-11-28 9.0625 9.0625 8.875 9.0 6.328672 236000
101 1986-12-01 9.0 9.0625 8.8125 8.875 6.240773 596000
102 1986-12-02 8.9375 8.96875 8.84375 8.9375 6.284722 845600
103 1986-12-03 8.875 9.0625 8.875 9.0625 6.372621 1016800
104 1986-12-04 9.0 9.1875 8.8125 8.9375 6.284722 643200
105 1986-12-05 8.875 8.9375 8.5 8.5625 6.021028 636400
106 1986-12-08 8.5 8.625 8.3125 8.5 5.977078 712000
107 1986-12-09 8.4375 8.5625 8.4375 8.4375 5.93313 302400
108 1986-12-10 8.5 8.5 8.3125 8.375 5.889179 341200
109 1986-12-11 8.4375 8.4375 7.9375 8.0625 5.669435 1172000
110 1986-12-12 8.1875 8.1875 8.0625 8.0625 5.669435 332000
111 1986-12-15 8.0625 8.625 8.0 8.625 6.064977 768400
112 1986-12-16 8.5625 8.6875 8.5625 8.6875 6.108925 770000
113 1986-12-17 8.6875 8.75 8.5 8.5 5.977078 345200
114 1986-12-18 8.5 8.625 8.3125 8.4375 5.93313 349200
115 1986-12-19 8.4375 8.5 8.375 8.375 5.889179 883600
116 1986-12-22 8.4375 8.625 8.375 8.5 5.977078 371600
117 1986-12-23 8.5625 8.625 8.3125 8.375 5.889179 282800
118 1986-12-24 8.375 8.375 8.3125 8.3125 5.84523 189200
119 1986-12-26 8.3125 8.375 8.25 8.375 5.889179 180000
120 1986-12-29 8.3125 8.375 8.125 8.375 5.889179 462000
121 1986-12-30 8.3125 8.375 8.125 8.1875 5.757333 485200
122 1986-12-31 8.28125 8.375 8.1875 8.1875 5.757333 378400
123 1987-01-02 8.1875 8.375 8.125 8.34375 5.867204 363600
