"Date" "GOOG.Open" "GOOG.High" "GOOG.Low" "GOOG.Close" "GOOG.Volume" "GOOG.Adjusted"
"1" 2007-01-03 232.129913 237.440018 229.694046 232.921951 15470700 232.921951
"2" 2007-01-04 233.624313 241.071411 233.300537 240.727692 15834200 240.727692
"3" 2007-01-05 240.349106 242.839783 238.162308 242.685349 13795600 242.685349
"4" 2007-01-08 242.934418 244.020355 240.199677 240.8871 9544400 240.8871
"5" 2007-01-09 241.818604 243.213379 239.701538 241.843506 10803000 241.843506
"6" 2007-01-10 241.310516 245.853485 240.119965 243.816116 11981700 243.816116
"7" 2007-01-11 247.671661 249.938171 247.163574 248.926956 14470400 248.926956
"8" 2007-01-12 250.057724 251.557098 249.066437 251.557098 8980800 251.557098
"9" 2007-01-16 252.827347 255.54216 250.710281 251.198441 15194500 251.198441
"10" 2007-01-17 250.755112 252.936935 246.266937 247.711517 13448300 247.711517
"11" 2007-01-18 246.33667 247.313004 242.804901 243.004166 11908400 243.004166
"12" 2007-01-19 243.078888 244.463684 242.461197 243.960571 9993800 243.960571
"13" 2007-01-22 245.330444 245.405167 238.356583 239.522217 10849100 239.522217
"14" 2007-01-23 239.497299 241.46991 237.753845 238.630554 9365900 238.630554
"15" 2007-01-24 241.320465 248.837296 240.74263 248.60318 12164000 248.60318
"16" 2007-01-25 249.564575 251.308029 241.923218 243.133682 12784700 243.133682
"17" 2007-01-26 244.54837 248.020355 242.605652 246.994202 11034100 246.994202
"18" 2007-01-29 248.070175 248.443771 244.334183 245.315491 9587100 245.315491
"19" 2007-01-30 246.077637 248.070175 244.692825 246.237045 8392200 246.237045
"20" 2007-01-31 247.317993 251.557098 246.829819 249.813644 24503600 249.813644
"21" 2007-02-01 252.055237 252.060211 239.865921 239.97551 31434700 239.97551
"22" 2007-02-02 240.4039 241.594452 238.012863 239.850983 12620000 239.850983
"23" 2007-02-05 237.858444 238.107513 232.224564 232.707748 14467800 232.707748
"24" 2007-02-06 233.175995 235.766296 232.757568 234.859695 10683600 234.859695
"25" 2007-02-07 236.025314 236.289337 233.514725 234.127426 8270400 234.127426
"26" 2007-02-08 233.151093 235.990448 231.706512 234.635529 8183900 234.635529
"27" 2007-02-09 234.944366 235.457443 229.888321 230.082596 9753600 230.082596
"28" 2007-02-12 229.479858 230.331665 226.660416 228.289322 11552100 228.289322
"29" 2007-02-13 228.717712 230.525925 227.776245 228.69281 8155600 228.69281
"30" 2007-02-14 229.141129 233.689072 228.752579 232.095047 11440200 232.095047
"31" 2007-02-15 232.129913 232.194672 229.499771 229.873383 8115000 229.873383
"32" 2007-02-16 230.535889 234.197174 230.167282 234.09256 12400200 234.09256
"33" 2007-02-20 233.360306 235.49231 231.487335 235.168533 8165600 235.168533
"34" 2007-02-21 234.042755 238.446243 232.996674 237.041504 11323400 237.041504
"35" 2007-02-22 238.451233 241.215866 236.30925 237.03653 11530700 237.03653
"36" 2007-02-23 236.98671 237.584473 233.026566 234.43129 7794200 234.43129
"37" 2007-02-26 235.532166 236.737656 231.009125 231.596924 7969500 231.596924
"38" 2007-02-27 226.650452 229.041489 222.750076 223.547089 18695300 223.547089
"39" 2007-02-28 224.364029 225.987946 220.692795 223.885818 16124700 223.885818
"40" 2007-03-01 220.508484 225.36528 219.178467 223.278091 17435400 223.278091
"41" 2007-03-02 221.723923 223.512222 218.520935 218.520935 13216400 218.520935
"42" 2007-03-05 217.694031 221.918198 217.684067 219.651688 12757800 219.651688
"43" 2007-03-06 222.899521 228.64299 222.854691 227.9207 15123800 227.9207
"44" 2007-03-07 230.481094 230.705261 226.296783 226.969269 13117100 226.969269
"45" 2007-03-08 228.752579 231.880859 226.202133 226.510986 10765700 226.510986
"46" 2007-03-09 228.144852 228.344116 224.20961 225.634262 9992600 225.634262
"47" 2007-03-12 225.440002 226.774994 224.712723 226.525925 6956700 226.525925
"48" 2007-03-13 224.214584 225.121185 220.588181 220.687805 12802300 220.687805
"49" 2007-03-14 220.78743 223.492294 218.680328 223.163528 16093800 223.163528
"50" 2007-03-15 223.093796 224.070129 221.141113 222.261902 7917800 222.261902
"51" 2007-03-16 221.99292 222.515961 219.123672 219.601883 11360600 219.601883
"52" 2007-03-19 220.797394 223.412598 219.492294 222.779968 10434200 222.779968
"53" 2007-03-20 222.062653 222.964279 220.971741 221.808609 6868600 221.808609
"54" 2007-03-21 221.818573 227.432526 221.773743 227.422562 11639900 227.422562
"55" 2007-03-22 226.954315 230.222076 225.420074 230.157318 11403900 230.157318
"56" 2007-03-23 229.863419 230.829788 227.686569 230.052704 8253300 230.052704
"57" 2007-03-26 229.4151 231.63179 226.959305 231.63179 9455800 231.63179
"58" 2007-03-27 230.9095 231.746353 229.310486 230.944366 7510300 230.944366
"59" 2007-03-28 230.072632 231.850967 229.215836 230.077606 9217500 230.077606
"60" 2007-03-29 231.407623 232.129913 226.650452 229.599411 8006800 229.599411
"61" 2007-03-30 230.187195 230.834778 227.218323 228.224564 6785600 228.224564
"62" 2007-04-02 228.025299 228.408875 225.215836 228.408875 6922700 228.408875
"63" 2007-04-03 231.158554 236.239517 231.133652 235.417603 13052300 235.417603
"64" 2007-04-04 235.188461 235.616852 233.913239 234.630554 7585800 234.630554
"65" 2007-04-05 234.77002 235.163544 233.933167 234.874634 5451900 234.874634
"66" 2007-04-09 235.606888 235.616852 231.92569 233.230789 6147100 233.230789
"67" 2007-04-10 232.672882 234.515976 231.711487 232.378983 5980800 232.378983
"68" 2007-04-11 232.159805 233.823578 230.441254 231.397659 7652500 231.397659
"69" 2007-04-12 231.133652 233.12619 230.256943 232.822327 5436000 232.822327
"70" 2007-04-13 233.350342 233.50975 230.81485 232.274384 5610400 232.274384
"71" 2007-04-16 233.355331 237.604401 233.200912 236.249481 10193800 236.249481
"72" 2007-04-17 236.01535 237.305527 234.919464 235.517227 6444200 235.517227
"73" 2007-04-18 234.750092 239.05397 233.888336 237.116226 11383400 237.116226
"74" 2007-04-19 236.364044 240.075134 233.918213 234.944366 22101700 234.944366
"75" 2007-04-20 244.344131 245.330444 240.110016 240.339157 24414100 240.339157
"76" 2007-04-23 239.153595 241.594452 238.23703 238.645493 11391600 238.645493
"77" 2007-04-24 238.411377 239.093811 236.887085 237.873398 7417000 237.873398
"78" 2007-04-25 239.103775 239.786224 237.166046 238.102539 7963300 238.102539
"79" 2007-04-26 238.157333 241.320465 237.664169 239.691574 8280600 239.691574
"80" 2007-04-27 239.138657 240.299301 238.271896 238.610626 5873200 238.610626
"81" 2007-04-30 238.680374 239.77626 234.809875 234.809875 7309600 234.809875
"82" 2007-05-01 235.213364 235.522202 231.218338 233.624313 7343800 233.624313
"83" 2007-05-02 233.449966 234.660431 231.995422 232.020325 6148300 232.020325
"84" 2007-05-03 232.239502 236.149857 231.776245 235.731415 7215200 235.731415
"85" 2007-05-04 234.18222 236.533417 232.070145 234.680359 7929500 234.680359
"86" 2007-05-07 235.188461 235.527191 232.364044 232.762543 6062700 232.762543
"87" 2007-05-08 232.194672 233.210861 231.497284 232.533401 5831900 232.533401
"88" 2007-05-09 232.204636 234.984222 231.073883 233.748856 7808800 233.748856
"89" 2007-05-10 232.64798 233.868408 229.649216 229.873383 7400100 229.873383
"90" 2007-05-11 230.052704 232.628052 229.639252 232.498535 5910100 232.498535
"91" 2007-05-14 231.870895 232.882095 229.141129 230.027802 7774300 230.027802
"92" 2007-05-15 230.117462 230.406387 227.850952 228.144852 8268800 228.144852
"93" 2007-05-16 230.13739 235.686584 228.652954 235.422577 13157500 235.422577
"94" 2007-05-17 235.347855 236.722702 234.52594 234.600662 9356100 234.600662
"95" 2007-05-18 235.133667 235.467407 233.997925 234.28186 7419400 234.28186
"96" 2007-05-21 233.888336 238.705276 232.488571 234.421326 12364700 234.421326
"97" 2007-05-22 235.616852 238.610626 235.616852 237.041504 7706700 237.041504
"98" 2007-05-23 239.512253 240.802414 235.990448 236.100037 10158300 236.100037
"99" 2007-05-24 236.687836 238.705276 234.869644 236.279373 8378400 236.279373
"100" 2007-05-25 238.954346 241.569534 237.743881 240.857208 10736900 240.857208
"101" 2007-05-29 241.594452 244.98175 241.096313 242.645508 10475000 242.645508
"102" 2007-05-30 241.345383 248.488602 240.598175 248.369049 14545800 248.369049
"103" 2007-05-31 249.345398 253.440048 247.601929 248.025345 17915400 248.025345
"104" 2007-06-01 249.564575 251.567062 248.035309 249.265686 9633800 249.265686
"105" 2007-06-04 248.025345 254.301819 247.865936 252.588242 14255200 252.588242
"106" 2007-06-05 253.923233 258.530975 252.3591 258.451263 20972400 258.451263
"107" 2007-06-06 257.410156 259.417633 256.667938 258.157349 15832400 258.157349
"108" 2007-06-07 258.904572 262.266968 255.29808 256.568329 21340600 256.568329
"109" 2007-06-08 257.1362 258.849762 253.778778 256.782501 12764000 256.782501
"110" 2007-06-11 256.050262 258.157349 254.04776 254.715271 9330100 254.715271
"111" 2007-06-12 253.405182 254.879654 250.645523 251.442535 12887000 251.442535
"112" 2007-06-13 252.598206 253.320496 248.413879 251.676651 14120600 251.676651
"113" 2007-06-14 251.746399 251.995453 249.913269 250.48114 9277000 250.48114
"114" 2007-06-15 253.146149 253.549637 249.679138 252.000443 12394400 252.000443
"115" 2007-06-18 252.144897 257.03656 251.178528 256.638062 9707900 256.638062
"116" 2007-06-19 256.045288 257.659241 254.814896 256.194733 8743200 256.194733
"117" 2007-06-20 257.514771 258.406433 253.579529 254.032822 8708800 254.032822
"118" 2007-06-21 254.535934 256.682892 252.194717 256.095093 8852400 256.095093
"119" 2007-06-22 257.245789 261.514771 257.086365 261.509796 14461300 261.509796
"120" 2007-06-25 263.502319 266.496094 260.712799 262.72525 15909300 262.72525
"121" 2007-06-26 265.370331 265.604462 262.137451 264.139954 11421500 264.139954
"122" 2007-06-27 261.519745 263.009186 258.809906 262.162354 12292000 262.162354
"123" 2007-06-28 261.459991 263.761353 260.921997 261.52475 8368000 261.52475
"124" 2007-06-29 262.027863 262.715271 258.760101 260.374054 7790200 260.374054
"125" 2007-07-02 261.763855 264.931976 261.121246 264.199707 7001200 264.199707
