"Date" "IBM.Open" "IBM.High" "IBM.Low" "IBM.Close" "IBM.Adjusted" "IBM.Volume"
0 1962-02-01 7.3 7.413333 7.3 7.393333 1.801391 645000
1 1962-02-02 7.393333 7.44 7.36 7.44 1.812761 510000
2 1962-02-05 7.44 7.44 7.306667 7.346667 1.790021 315000
3 1962-02-06 7.346667 7.36 7.32 7.353333 1.791888 262500
4 1962-02-07 7.36 7.4 7.36 7.36 1.793513 255000
5 1962-02-08 7.36 7.4 7.36 7.366667 1.795137 22500
6 1962-02-09 7.366667 7.42 7.333333 7.42 1.808133 435000
7 1962-02-12 7.42 7.48 7.413333 7.426667 1.809759 285000
8 1962-02-13 7.426667 7.433333 7.306667 7.306667 1.780517 262500
9 1962-02-14 7.306667 7.333333 7.28 7.293333 1.777267 210000
10 1962-02-15 7.293333 7.293333 7.26 7.266667 1.77077 232500
11 1962-02-16 7.266667 7.293333 7.26 7.26 1.769145 225000
12 1962-02-19 7.26 7.293333 7.173333 7.186667 1.751273 285000
13 1962-02-20 7.19 7.226667 7.19 7.19 1.752087 292500
14 1962-02-21 7.19 7.24 7.136667 7.136667 1.739091 367500
15 1962-02-23 7.146667 7.173333 7.146667 7.16 1.744776 292500
16 1962-02-26 7.16 7.166667 7.12 7.133333 1.738278 300000
17 1962-02-27 7.133333 7.193333 7.093333 7.146667 1.741528 352500
18 1962-02-28 7.146667 7.16 7.106667 7.16 1.744776 270000
19 1962-03-01 7.186667 7.246667 7.186667 7.246667 1.765895 285000
20 1962-03-02 7.306667 7.346667 7.306667 7.306667 1.780517 247500
21 1962-03-05 7.306667 7.306667 7.253333 7.28 1.774019 360000
22 1962-03-06 7.28 7.313333 7.266667 7.286667 1.775642 187500
23 1962-03-07 7.286667 7.31 7.266667 7.31 1.781329 127500
24 1962-03-08 7.31 7.326667 7.266667 7.326667 1.78539 187500
25 1962-03-09 7.333333 7.373333 7.333333 7.373333 1.796762 292500
26 1962-03-12 7.373333 7.393333 7.346667 7.366667 1.795137 285000
27 1962-03-13 7.366667 7.366667 7.333333 7.36 1.793513 127500
28 1962-03-14 7.36 7.38 7.333333 7.346667 1.790263 202500
29 1962-03-15 7.346667 7.386667 7.333333 7.333333 1.787015 247500
30 1962-03-16 7.333333 7.366667 7.333333 7.366667 1.795137 165000
31 1962-03-19 7.38 7.413333 7.38 7.386667 1.800011 375000
32 1962-03-20 7.373333 7.373333 7.34 7.34 1.788639 165000
33 1962-03-21 7.34 7.36 7.32 7.346667 1.790263 262500
34 1962-03-22 7.32 7.32 7.266667 7.266667 1.77077 240000
35 1962-03-23 7.273333 7.306667 7.273333 7.293333 1.777267 187500
36 1962-03-26 7.293333 7.32 7.28 7.29 1.776455 135000
37 1962-03-27 7.273333 7.273333 7.146667 7.153333 1.743153 352500
38 1962-03-28 7.16 7.213333 7.16 7.193333 1.752899 330000
39 1962-03-29 7.193333 7.226667 7.173333 7.173333 1.748026 232500
40 1962-03-30 7.16 7.16 7.07 7.103333 1.730968 442500
41 1962-04-02 7.1 7.1 7.006667 7.006667 1.707412 375000
42 1962-04-03 7.0 7.0 6.76 6.833333 1.665174 915000
43 1962-04-04 6.833333 6.893333 6.803333 6.803333 1.657863 652500
44 1962-04-05 6.84 6.946667 6.84 6.946667 1.692791 915000
45 1962-04-06 6.946667 7.0 6.893333 6.94 1.691167 435000
46 1962-04-09 6.94 6.98 6.893333 6.946667 1.692791 22500
47 1962-04-10 6.946667 6.973333 6.906667 6.973333 1.699288 262500
48 1962-04-11 6.973333 7.026667 6.88 6.88 1.676546 532500
49 1962-04-12 6.88 6.893333 6.806667 6.806667 1.658676 405000
50 1962-04-13 6.806667 6.906667 6.8 6.906667 1.683043 630000
51 1962-04-16 6.906667 6.953333 6.826667 6.9 1.681417 510000
52 1962-04-17 6.9 6.933333 6.866667 6.933333 1.689541 300000
53 1962-04-18 6.933333 6.993333 6.913333 6.92 1.686292 427500
54 1962-04-19 6.92 6.946667 6.893333 6.92 1.686292 390000
55 1962-04-23 6.92 6.926667 6.886667 6.913333 1.684667 315000
56 1962-04-24 6.913333 6.956667 6.9 6.906667 1.683043 457500
57 1962-04-25 6.906667 6.933333 6.833333 6.833333 1.665174 465000
58 1962-04-26 6.826667 6.826667 6.66 6.66 1.622934 930000
59 1962-04-27 6.66 6.733333 6.4 6.473333 1.577447 1635000
60 1962-04-30 6.473333 6.533333 6.0 6.053333 1.475099 2347500
61 1962-05-01 6.053333 6.193333 5.733333 6.16 1.501092 5317500
62 1962-05-02 6.266667 6.453333 6.266667 6.3 1.535209 2557500
63 1962-05-03 6.3 6.453333 6.253333 6.43 1.566888 1365000
64 1962-05-04 6.43 6.48 6.366667 6.48 1.579071 780000
65 1962-05-07 6.48 6.53 6.336667 6.336667 1.544142 832500
66 1962-05-08 6.328333 6.328333 6.126667 6.126667 1.493206 1035000
67 1962-05-09 6.126667 6.183333 6.0 6.013333 1.465583 1605000
68 1962-05-10 6.013333 6.13 5.986667 6.04 1.472083 1912500
69 1962-05-11 6.04 6.133333 5.92 5.946667 1.449336 1897500
70 1962-05-14 5.946667 6.06 5.843333 6.06 1.476956 2730000
71 1962-05-15 6.06 6.173333 6.026667 6.026667 1.468833 1687500
72 1962-05-16 6.026667 6.126667 6.026667 6.093333 1.485081 885000
73 1962-05-17 6.093333 6.093333 5.96 5.986667 1.459085 975000
74 1962-05-18 5.986667 6.02 5.94 6.02 1.467208 735000
75 1962-05-21 6.02 6.02 5.946667 6.0 1.462334 397500
76 1962-05-22 5.993333 5.993333 5.8 5.8 1.41359 1005000
77 1962-05-23 5.8 5.84 5.536667 5.536667 1.349409 2895000
78 1962-05-24 5.536667 5.68 5.306667 5.306667 1.293353 4155000
79 1962-05-25 5.306667 5.426667 5.173333 5.313333 1.294978 4305000
80 1962-05-28 5.293333 5.293333 4.733333 4.813333 1.173117 4320000
81 1962-05-29 4.873333 5.16 4.873333 5.106667 1.244609 3862500
82 1962-05-31 5.2 5.333333 5.2 5.233333 1.27548 4132500
83 1962-06-01 5.213333 5.213333 5.103333 5.133333 1.251108 2415000
84 1962-06-04 5.066667 5.066667 4.8 4.8 1.169868 1815000
85 1962-06-05 4.8 4.986667 4.706667 4.855 1.183272 3165000
86 1962-06-06 4.855 5.013333 4.826667 4.873333 1.18774 2880000
87 1962-06-07 4.906667 4.986667 4.906667 4.933333 1.202363 1230000
88 1962-06-08 4.936667 5.013333 4.936667 4.95 1.206425 1170000
