"Date" "KO.Open" "KO.High" "KO.Low" "KO.Close" "KO.Volume" "KO.Adjusted"
"1" 2007-01-03 24.18 24.440001 24.139999 24.290001 15753400 13.428069
"2" 2007-01-04 24.209999 24.35 24.125 24.299999 11810400 13.433596
"3" 2007-01-05 24.25 24.285 24.084999 24.129999 11607000 13.339619
"4" 2007-01-08 24.004999 24.334999 24.004999 24.285 17551000 13.4253
"5" 2007-01-09 24.27 24.415001 24.23 24.305 13724000 13.436357
"6" 2007-01-10 24.245001 24.395 24.184999 24.34 8928000 13.455706
"7" 2007-01-11 24.375 24.434999 24.299999 24.370001 11009600 13.47229
"8" 2007-01-12 24.299999 24.334999 24.125 24.275 13667200 13.419774
"9" 2007-01-16 24.24 24.344999 24.17 24.25 12685200 13.405954
"10" 2007-01-17 24.264999 24.43 24.24 24.299999 14400200 13.433596
"11" 2007-01-18 24.209999 24.5 24.1 24.174999 15223000 13.364493
"12" 2007-01-19 24.205 24.215 24.035 24.129999 13008200 13.339619
"13" 2007-01-22 24.055 24.174999 23.995001 24.014999 12198800 13.276046
"14" 2007-01-23 24.075001 24.115 23.969999 24.059999 12149000 13.300915
"15" 2007-01-24 24.094999 24.1 23.969999 24.065001 8641600 13.303679
"16" 2007-01-25 24.035 24.110001 23.950001 23.969999 11596600 13.251163
"17" 2007-01-26 24 24.049999 23.9 23.915001 14459000 13.220759
"18" 2007-01-29 23.879999 23.959999 23.780001 23.855 10077800 13.187591
"19" 2007-01-30 23.915001 23.975 23.82 23.905001 8986000 13.215232
"20" 2007-01-31 23.9 23.985001 23.745001 23.940001 10604400 13.234577
"21" 2007-02-01 23.995001 24.135 23.924999 24.049999 10398600 13.295391
"22" 2007-02-02 24.049999 24.205 24.02 24.120001 10703600 13.334089
"23" 2007-02-05 24.055 24.120001 23.92 23.950001 9192800 13.240105
"24" 2007-02-06 24 24.08 23.93 24.025 11168800 13.28157
"25" 2007-02-07 24.014999 24.065001 23.93 24.014999 9242400 13.276046
"26" 2007-02-08 23.975 24.025 23.825001 23.93 9076600 13.229053
"27" 2007-02-09 23.860001 23.995001 23.82 23.879999 9828400 13.20141
"28" 2007-02-12 23.924999 24.184999 23.9 23.959999 13925400 13.245632
"29" 2007-02-13 24.049999 24.209999 24.045 24.105 19411800 13.325796
"30" 2007-02-14 24.25 24.275 23.865 23.940001 32846800 13.234577
"31" 2007-02-15 23.995001 24.049999 23.790001 23.924999 19195000 13.226287
"32" 2007-02-16 24 24.049999 23.879999 23.934999 17492200 13.231818
"33" 2007-02-20 23.76 23.940001 23.75 23.889999 17828800 13.20694
"34" 2007-02-21 23.775 23.889999 23.76 23.785 16489600 13.148894
"35" 2007-02-22 23.844999 23.870001 23.610001 23.65 16721000 13.07426
"36" 2007-02-23 23.834999 23.965 23.59 23.629999 29516200 13.063203
"37" 2007-02-26 23.85 23.950001 23.790001 23.860001 18709000 13.190351
"38" 2007-02-27 23.735001 23.92 22.780001 23.195 30318600 12.822729
"39" 2007-02-28 23.375 23.450001 23.16 23.34 27629200 12.902883
"40" 2007-03-01 23.209999 23.465 23.135 23.26 27342000 12.858659
"41" 2007-03-02 23.225 23.465 22.905001 22.945 34050600 12.68452
"42" 2007-03-05 22.950001 23.355 22.885 23.145 29572400 12.795084
"43" 2007-03-06 23.344999 23.530001 23.275 23.465 25097800 12.971989
"44" 2007-03-07 23.379999 23.5 23.33 23.375 26321800 12.922238
"45" 2007-03-08 23.450001 23.68 23.445 23.575001 17422400 13.032801
"46" 2007-03-09 23.615 23.834999 23.575001 23.785 26127200 13.148894
"47" 2007-03-12 23.785 23.995001 23.735001 23.975 26009000 13.253933
"48" 2007-03-13 23.674999 23.934999 23.48 23.530001 32198000 13.195049
"49" 2007-03-14 23.625 23.67 23.295 23.52 32553400 13.189445
"50" 2007-03-15 23.475 23.565001 23.34 23.540001 19059000 13.200658
"51" 2007-03-16 23.625 23.655001 23.41 23.605 28231600 13.237103
"52" 2007-03-19 23.67 23.75 23.52 23.665001 15513600 13.270755
"53" 2007-03-20 23.709999 23.875 23.620001 23.809999 14456000 13.35206
"54" 2007-03-21 23.85 24.174999 23.684999 24.129999 24361000 13.531513
"55" 2007-03-22 23.955 24.219999 23.955 24.125 16486800 13.528707
"56" 2007-03-23 24.065001 24.135 23.985001 24.025 16012200 13.472631
"57" 2007-03-26 23.975 24.094999 23.84 24.075001 14385200 13.500669
"58" 2007-03-27 24 24.084999 23.924999 24.01 13230600 13.464222
"59" 2007-03-28 23.895 24.15 23.795 23.955 22657800 13.433374
"60" 2007-03-29 23.805 24.200001 23.424999 24.055 18947800 13.489456
"61" 2007-03-30 24.129999 24.25 23.799999 24 17937600 13.458611
"62" 2007-04-02 24.1 24.33 24.025 24.26 22443400 13.604412
