 Date PEP.Open PEP.High PEP.Low PEP.Close PEP.Adjusted PEP.Volume
0 1972-06-01 0.0 1.601852 1.583333 1.601852 0.434267 318600
1 1972-06-02 1.601852 1.618056 1.597222 1.597222 0.433012 140400
2 1972-06-05 1.597222 1.599537 1.543981 1.574074 0.427978 469800
3 1972-06-06 1.560185 1.560185 1.555556 1.560185 0.424201 140400
4 1972-06-07 1.560185 1.5625 1.546296 1.550926 0.421684 178200
5 1972-06-08 1.550926 1.555556 1.541667 1.550926 0.421684 432000
6 1972-06-09 1.550926 1.555556 1.548611 1.553241 0.422313 199800
7 1972-06-12 1.553241 1.555556 1.546296 1.548611 0.421054 183600
8 1972-06-13 1.550926 1.56713 1.550926 1.56713 0.426089 415800
9 1972-06-14 1.571759 1.587963 1.571759 1.583333 0.430495 216000
10 1972-06-15 1.583333 1.587963 1.576389 1.578704 0.429236 178200
11 1972-06-16 1.578704 1.587963 1.569444 1.576389 0.428607 183600
12 1972-06-19 1.576389 1.583333 1.560185 1.571759 0.427348 324000
13 1972-06-20 1.571759 1.574074 1.564815 1.571759 0.427348 129600
14 1972-06-21 1.571759 1.583333 1.56713 1.574074 0.427978 356400
15 1972-06-22 1.574074 1.585648 1.569444 1.583333 0.430495 324000
16 1972-06-23 1.583333 1.594907 1.583333 1.592593 0.433013 275400
17 1972-06-26 1.592593 1.592593 1.578704 1.578704 0.429236 194400
18 1972-06-27 1.578704 1.583333 1.569444 1.569444 0.426719 669600
19 1972-06-28 1.569444 1.571759 1.564815 1.56713 0.426089 75600
20 1972-06-29 1.56713 1.576389 1.546296 1.56713 0.426089 280800
21 1972-06-30 1.56713 1.574074 1.548611 1.553241 0.422313 135000
22 1972-07-03 1.553241 1.555556 1.541667 1.550926 0.421684 216000
23 1972-07-05 1.550926 1.553241 1.532407 1.553241 0.422313 372600
24 1972-07-06 1.553241 1.585648 1.553241 1.569444 0.426719 793800
25 1972-07-07 1.56713 1.56713 1.546296 1.546296 0.420425 259200
26 1972-07-10 1.546296 1.560185 1.532407 1.546296 0.420425 372600
27 1972-07-11 1.546296 1.5625 1.539352 1.55787 0.423572 1080000
28 1972-07-12 1.55787 1.56713 1.55787 1.560185 0.424201 367200
29 1972-07-13 1.560185 1.569444 1.550926 1.569444 0.426719 302400
30 1972-07-14 1.571759 1.62963 1.571759 1.625 0.441824 993600
31 1972-07-17 1.625 1.638889 1.608796 1.615741 0.439306 561600
32 1972-07-18 1.615741 1.615741 1.592593 1.597222 0.434271 302400
33 1972-07-19 1.597222 1.601852 1.578704 1.578704 0.429236 356400
34 1972-07-20 1.574074 1.574074 1.564815 1.564815 0.42546 243000
35 1972-07-21 1.564815 1.576389 1.560185 1.569444 0.426719 275400
36 1972-07-24 1.569444 1.578704 1.569444 1.571759 0.427348 410400
37 1972-07-25 1.574074 1.585648 1.574074 1.576389 0.428607 469800
38 1972-07-26 1.576389 1.587963 1.576389 1.587963 0.431754 145800
39 1972-07-27 1.587963 1.641204 1.583333 1.638889 0.4456 739800
40 1972-07-28 1.638889 1.643519 1.62037 1.62037 0.440565 318600
41 1972-07-31 1.62037 1.62963 1.613426 1.618056 0.439936 167400
42 1972-08-01 1.618056 1.634259 1.613426 1.634259 0.444341 783000
43 1972-08-02 1.634259 1.657407 1.62963 1.648148 0.448118 523800
44 1972-08-03 1.648148 1.650463 1.625 1.62963 0.443083 410400
45 1972-08-04 1.62963 1.62963 1.601852 1.62963 0.443083 432000
46 1972-08-07 1.627315 1.627315 1.611111 1.627315 0.442453 151200
47 1972-08-08 1.627315 1.627315 1.613426 1.618056 0.439936 329400
48 1972-08-09 1.618056 1.622685 1.594907 1.62037 0.440565 669600
49 1972-08-10 1.62037 1.62037 1.613426 1.62037 0.440565 372600
50 1972-08-11 1.62037 1.62963 1.615741 1.622685 0.441194 480600
51 1972-08-14 1.627315 1.655093 1.627315 1.631944 0.443712 756000
52 1972-08-15 1.631944 1.643519 1.625 1.627315 0.442453 291600
53 1972-08-16 1.627315 1.634259 1.622685 1.622685 0.441194 194400
54 1972-08-17 1.622685 1.631944 1.622685 1.625 0.441824 280800
55 1972-08-18 1.625 1.62963 1.62037 1.627315 0.442453 923400
56 1972-08-21 1.627315 1.634259 1.625 1.634259 0.444341 378000
57 1972-08-22 1.634259 1.643519 1.62963 1.634259 0.444341 248400
58 1972-08-23 1.634259 1.645833 1.62963 1.62963 0.443083 172800
59 1972-08-24 1.62963 1.634259 1.611111 1.615741 0.439306 691200
60 1972-08-25 1.615741 1.62037 1.601852 1.615741 0.439306 491400
61 1972-08-28 1.615741 1.62037 1.608796 1.608796 0.437418 210600
62 1972-08-29 1.613426 1.62963 1.613426 1.622685 0.441194 286200
63 1972-08-30 1.622685 1.627315 1.611111 1.611111 0.438048 329400
64 1972-08-31 1.606481 1.606481 1.597222 1.597222 0.434271 270000
65 1972-09-01 1.597222 1.608796 1.590278 1.608796 0.43869 507600
66 1972-09-05 1.601852 1.601852 1.592593 1.592593 0.434271 113400
67 1972-09-06 1.592593 1.601852 1.585648 1.590278 0.43364 799200
68 1972-09-07 1.590278 1.594907 1.581019 1.581019 0.431115 156600
69 1972-09-08 1.581019 1.583333 1.569444 1.571759 0.428591 178200
70 1972-09-11 1.571759 1.571759 1.560185 1.571759 0.428591 216000
71 1972-09-12 1.571759 1.574074 1.564815 1.56713 0.427328 426600
72 1972-09-13 1.564815 1.564815 1.5625 1.564815 0.426697 221400
73 1972-09-14 1.564815 1.574074 1.5625 1.56713 0.427328 567000
74 1972-09-15 1.56713 1.569444 1.532407 1.537037 0.419122 750600
75 1972-09-18 1.537037 1.537037 1.506944 1.523148 0.415335 637200
76 1972-09-19 1.523148 1.523148 1.502315 1.502315 0.409655 275400
77 1972-09-20 1.5 1.5 1.486111 1.497685 0.408392 324000
78 1972-09-21 1.497685 1.5 1.486111 1.5 0.409023 378000
79 1972-09-22 1.5 1.50463 1.467593 1.474537 0.40208 372600
80 1972-09-25 1.474537 1.481481 1.444444 1.444444 0.393874 2748600
81 1972-09-26 1.444444 1.462963 1.435185 1.458333 0.397661 712800
82 1972-09-27 1.467593 1.527778 1.467593 1.523148 0.415335 696600
83 1972-09-28 1.532407 1.543981 1.532407 1.532407 0.41786 1204200
84 1972-09-29 1.532407 1.546296 1.532407 1.543981 0.421016 189000
85 1972-10-02 1.543981 1.546296 1.509259 1.518519 0.414073 891000
86 1972-10-03 1.513889 1.513889 1.502315 1.511574 0.412179 680400
87 1972-10-04 1.518519 1.527778 1.518519 1.523148 0.415335 1096200
88 1972-10-05 1.520833 1.520833 1.511574 1.516204 0.413442 545400
89 1972-10-06 1.516204 1.537037 1.511574 1.527778 0.416597 993600
90 1972-10-09 1.527778 1.530093 1.520833 1.530093 0.417229 459000
91 1972-10-10 1.530093 1.537037 1.520833 1.527778 0.416597 982800
92 1972-10-11 1.527778 1.537037 1.518519 1.525463 0.415966 1166400
93 1972-10-12 1.523148 1.523148 1.50463 1.50463 0.410286 243000
94 1972-10-13 1.5 1.5 1.479167 1.483796 0.404604 820800
95 1972-10-16 1.483796 1.483796 1.472222 1.474537 0.40208 329400
96 1972-10-17 1.474537 1.481481 1.472222 1.479167 0.403342 815400
97 1972-10-18 1.483796 1.502315 1.483796 1.5 0.409023 793800
98 1972-10-19 1.5 1.50463 1.493056 1.50463 0.410286 448200
99 1972-10-20 1.50463 1.509259 1.497685 1.5 0.409023 199800
100 1972-10-23 1.5 1.537037 1.5 1.518519 0.414073 513000
101 1972-10-24 1.518519 1.541667 1.497685 1.541667 0.420385 1382400
102 1972-10-25 1.541667 1.574074 1.537037 1.560185 0.425434 648000
103 1972-10-26 1.564815 1.585648 1.564815 1.569444 0.427959 1485000
104 1972-10-27 1.569444 1.571759 1.546296 1.553241 0.423541 734400
105 1972-10-30 1.553241 1.553241 1.532407 1.539352 0.419754 291600
106 1972-10-31 1.539352 1.546296 1.537037 1.546296 0.421647 939600
107 1972-11-01 1.546296 1.550926 1.537037 1.546296 0.421647 966600
108 1972-11-02 1.546296 1.5625 1.543981 1.55787 0.424803 491400
109 1972-11-03 1.55787 1.587963 1.553241 1.583333 0.431747 729000
110 1972-11-06 1.583333 1.592593 1.576389 1.578704 0.430484 561600
111 1972-11-08 1.578704 1.592593 1.576389 1.585648 0.432378 372600
112 1972-11-09 1.585648 1.587963 1.574074 1.587963 0.433009 837000
113 1972-11-10 1.587963 1.601852 1.583333 1.583333 0.431747 648000
114 1972-11-13 1.583333 1.594907 1.578704 1.587963 0.433009 270000
115 1972-11-14 1.587963 1.611111 1.583333 1.608796 0.43869 1171800
116 1972-11-15 1.608796 1.613426 1.604167 1.604167 0.437428 783000
117 1972-11-16 1.604167 1.62037 1.599537 1.613426 0.439952 491400
118 1972-11-17 1.643519 1.68287 1.643519 1.664352 0.453839 2052000
119 1972-11-20 1.664352 1.666667 1.657407 1.664352 0.453839 955800
120 1972-11-21 1.664352 1.664352 1.631944 1.631944 0.445002 1042200
121 1972-11-22 1.631944 1.645833 1.62963 1.636574 0.446265 405000
122 1972-11-24 1.636574 1.643519 1.631944 1.634259 0.445633 145800
123 1972-11-27 1.634259 1.638889 1.62963 1.638889 0.446895 399600
124 1972-11-28 1.636574 1.636574 1.625 1.62963 0.444371 361800
125 1972-11-29 1.627315 1.627315 1.62037 1.625 0.443109 772200
126 1972-11-30 1.625 1.625 1.608796 1.613426 0.439952 388800
127 1972-12-01 1.613426 1.62037 1.604167 1.613426 0.439952 864000
128 1972-12-04 1.613426 1.622685 1.608796 1.618056 0.442485 421200
129 1972-12-05 1.622685 1.627315 1.622685 1.627315 0.445017 594000
130 1972-12-06 1.627315 1.643519 1.625 1.643519 0.449448 777600
131 1972-12-07 1.643519 1.664352 1.634259 1.664352 0.455145 1215000
132 1972-12-08 1.664352 1.664352 1.652778 1.657407 0.453246 718200
133 1972-12-11 1.657407 1.657407 1.634259 1.648148 0.450714 1495800
134 1972-12-12 1.648148 1.648148 1.636574 1.638889 0.448182 475200
135 1972-12-13 1.638889 1.638889 1.634259 1.636574 0.447549 199800
136 1972-12-14 1.636574 1.636574 1.625 1.62963 0.44565 599400
137 1972-12-15 1.62963 1.636574 1.62963 1.631944 0.446283 761400
138 1972-12-18 1.62963 1.62963 1.62037 1.62963 0.44565 232200
139 1972-12-19 1.62037 1.62037 1.597222 1.606481 0.439319 793800
140 1972-12-20 1.606481 1.608796 1.590278 1.592593 0.435521 783000
141 1972-12-21 1.592593 1.594907 1.56713 1.571759 0.429824 675000
142 1972-12-22 1.571759 1.578704 1.56713 1.578704 0.431723 1366200
