"Date" "WMT.Open" "WMT.High" "WMT.Low" "WMT.Close" "WMT.Volume" "WMT.Adjusted"
"1" 2007-01-03 47.09 48.299999 47.060001 47.549999 35687300 34.262222
"2" 2007-01-04 47.799999 47.990002 47.32 47.779999 17073000 34.427963
"3" 2007-01-05 47.5 47.799999 47.150002 47.389999 13556900 34.146942
"4" 2007-01-08 46.91 47.310001 46.900002 47 16396400 33.865929
"5" 2007-01-09 47 47.669998 47 47.389999 14643200 34.146942
"6" 2007-01-10 47.049999 47.619999 46.509998 47.279999 13348100 34.067673
"7" 2007-01-11 47.27 47.73 47.209999 47.599998 14823200 34.298252
"8" 2007-01-12 47.619999 48.110001 47.209999 47.98 13910800 34.572063
"9" 2007-01-16 47.93 48.48 47.790001 48.310001 14482400 34.809845
"10" 2007-01-17 48.32 48.41 48.09 48.200001 11305400 34.730587
"11" 2007-01-18 48.200001 48.779999 48.080002 48.389999 13656200 34.867481
"12" 2007-01-19 48.490002 48.740002 48.189999 48.310001 11960300 34.809845
"13" 2007-01-22 48.16 48.27 47.599998 47.959999 12719900 34.557663
"14" 2007-01-23 47.779999 48.150002 47.459999 47.810001 11274300 34.44957
"15" 2007-01-24 48.07 48.700001 47.990002 48.610001 13491600 35.026028
"16" 2007-01-25 48.610001 48.639999 48.09 48.150002 9760100 34.694561
"17" 2007-01-26 48.049999 48.360001 47.470001 47.669998 11058400 34.348694
"18" 2007-01-29 48.150002 48.150002 47.5 47.630001 9537000 34.319874
"19" 2007-01-30 47.75 47.84 46.91 47.279999 16342400 34.067673
"20" 2007-01-31 47.200001 47.959999 47.040001 47.689999 14894300 34.36311
"21" 2007-02-01 47.509998 48.080002 47.439999 47.779999 13235400 34.427963
"22" 2007-02-02 47.75 48.419998 47.639999 48.080002 12611700 34.644119
"23" 2007-02-05 48.439999 48.900002 48.419998 48.52 14214900 34.961159
"24" 2007-02-06 48.610001 48.77 48.32 48.580002 8961900 35.004398
"25" 2007-02-07 48.389999 48.75 48.279999 48.580002 10084300 35.004398
"26" 2007-02-08 48.360001 48.599998 48.130001 48.310001 10791600 34.809845
"27" 2007-02-09 48.369999 48.540001 47.669998 47.970001 12406000 34.564865
"28" 2007-02-12 48.150002 48.240002 47.68 47.740002 10330400 34.399128
"29" 2007-02-13 47.799999 48.169998 47.740002 47.98 10068400 34.572063
"30" 2007-02-14 48.080002 48.130001 47.75 47.869999 12275700 34.49279
"31" 2007-02-15 47.900002 48.540001 47.82 48.360001 11296500 34.845875
"32" 2007-02-16 48.349998 48.849998 48.25 48.48 17103700 34.932343
"33" 2007-02-20 49.810001 50.290001 49.41 50.259998 36502900 36.214924
"34" 2007-02-21 49.91 50.419998 49.869999 49.970001 23789100 36.005959
"35" 2007-02-22 50.09 50.18 49.549999 49.689999 10632900 35.804222
"36" 2007-02-23 49.66 49.889999 49.290001 49.57 11050600 35.717728
"37" 2007-02-26 49.709999 50.049999 49.450001 49.98 10662800 36.013172
"38" 2007-02-27 49.599998 49.779999 48.200001 48.200001 20652700 34.730587
"39" 2007-02-28 48.5 48.66 48.009998 48.310001 21331800 34.809845
"40" 2007-03-01 47.779999 48.200001 47.189999 47.889999 20456600 34.507221
"41" 2007-03-02 47.849998 48.32 47.709999 47.810001 18359700 34.44957
"42" 2007-03-05 47.650002 48.27 47.439999 47.470001 14331300 34.204578
"43" 2007-03-06 47.84 48.290001 47.75 48.040001 14918600 34.615299
"44" 2007-03-07 48.049999 48.25 47.610001 47.93 13327000 34.536053
"45" 2007-03-08 48.049999 48.150002 47.380001 47.880001 20395700 34.5
"46" 2007-03-09 47.779999 48.130001 47.150002 47.419998 13950500 34.168556
"47" 2007-03-12 47.529999 47.630001 47.099998 47.259998 12197200 34.053272
