"Date" "XOM.Open" "XOM.High" "XOM.Low" "XOM.Close" "XOM.Volume" "XOM.Adjusted"
"1" 2007-01-03 76.260002 76.269997 73.510002 74.110001 30510700 46.833088
"2" 2007-01-04 73.849998 73.900002 72.209999 72.720001 31046600 45.954712
"3" 2007-01-05 72.449997 73.379997 72.220001 73.239998 24671500 46.283306
"4" 2007-01-08 73.879997 74.25 71.849998 72.650002 25981900 45.910465
"5" 2007-01-09 71.849998 72.839996 71.440002 72.089996 27039900 45.556561
"6" 2007-01-10 71.809998 73.110001 70.639999 70.989998 30572000 44.861439
"7" 2007-01-11 70.989998 72.849998 70.769997 70.980003 29161700 44.855129
"8" 2007-01-12 71.209999 72.709999 71.199997 72.660004 24438700 45.916782
"9" 2007-01-16 72.5 72.650002 71.25 71.629997 25444400 45.265884
"10" 2007-01-17 71.489998 72.620003 71.410004 72.459999 31292200 45.790401
"11" 2007-01-18 72.669998 73.129997 71.190002 71.959999 23581900 45.47443
"12" 2007-01-19 72.5 73.629997 72.199997 73.529999 23912600 46.46656
"13" 2007-01-22 73.650002 73.75 72.5 72.900002 21929300 46.068451
"14" 2007-01-23 73.550003 74.910004 73.470001 74.489998 29016600 47.073215
"15" 2007-01-24 74.5 74.989998 73.75 74.900002 19785400 47.332348
"16" 2007-01-25 74.620003 74.940002 73.360001 73.519997 22630100 46.460247
"17" 2007-01-26 73.889999 74.489998 73.449997 73.610001 20506200 46.517136
"18" 2007-01-29 73.650002 74.089996 72.800003 73.199997 17370600 46.25803
"19" 2007-01-30 73.449997 74.589996 73.330002 74.389999 21590500 47.010036
"20" 2007-01-31 74.389999 74.720001 73.480003 74.099998 24249200 46.826782
"21" 2007-02-01 74.580002 75.279999 73.809998 75.080002 25168000 47.446091
"22" 2007-02-02 75 75.790001 74.449997 75.540001 24299300 47.736774
"23" 2007-02-05 75.650002 75.879997 75.059998 75.669998 18168800 47.818928
"24" 2007-02-06 75.860001 75.970001 75.040001 75.459999 16222300 47.686222
"25" 2007-02-07 75.400002 75.879997 74.529999 74.790001 18134700 47.464104
"26" 2007-02-08 74.279999 75.629997 74.239998 75.459999 18742000 47.889294
"27" 2007-02-09 75.459999 75.730003 74.910004 75.220001 17734200 47.736973
"28" 2007-02-12 74.93 75.07 74.330002 74.599998 16564600 47.343513
"29" 2007-02-13 74.800003 75.5 74.589996 75.449997 15839600 47.882946
"30" 2007-02-14 75.900002 76 74.989998 75.599998 17648800 47.978153
"31" 2007-02-15 75.190002 75.489998 74.720001 75.339996 17871900 47.813137
"32" 2007-02-16 75.260002 75.550003 75.010002 75.290001 18329200 47.781414
"33" 2007-02-20 74.900002 75.050003 74.290001 74.870003 15840500 47.51487
"34" 2007-02-21 74.720001 75.269997 74.25 74.779999 17886500 47.457748
"35" 2007-02-22 74.620003 75.209999 74.199997 75.080002 17165300 47.648148
"36" 2007-02-23 75.290001 75.550003 75.040001 75.220001 17687900 47.736973
"37" 2007-02-26 75.519997 76.099998 75.260002 75.400002 17803600 47.851208
"38" 2007-02-27 74.889999 75.230003 71.379997 71.830002 34588800 45.585564
"39" 2007-02-28 72.230003 73.599998 71.18 71.68 55723000 45.490383
"40" 2007-03-01 70.900002 72.080002 70.050003 70.989998 39472200 45.052483
"41" 2007-03-02 70.949997 71.25 69.309998 70.010002 27454600 44.43055
"42" 2007-03-05 69.349998 70.839996 69.019997 69.980003 33039300 44.411514
"43" 2007-03-06 70.699997 71.019997 70.199997 71 26626400 45.058849
"44" 2007-03-07 71 72.860001 70.559998 71.639999 31564400 45.465012
"45" 2007-03-08 72.150002 72.18 71.199997 71.849998 27405800 45.598274
"46" 2007-03-09 71.949997 72.379997 70.900002 71.120003 28671000 45.135002
"47" 2007-03-12 70.800003 71.400002 70.699997 70.870003 20150800 44.976341
"48" 2007-03-13 70.370003 71.559998 69.730003 69.910004 27378900 44.367107
"49" 2007-03-14 70.099998 71.019997 69.639999 71.019997 30053700 45.071541
"50" 2007-03-15 70.709999 71.239998 70.400002 70.690002 23538500 44.86211
"51" 2007-03-16 70.769997 70.870003 69.519997 69.860001 46777100 44.335354
"52" 2007-03-19 70.120003 71.18 70.110001 71.099998 23184100 45.122307
"53" 2007-03-20 71.120003 72 71.019997 72 23683300 45.693466
"54" 2007-03-21 72.440002 73.330002 71.870003 73.230003 28800100 46.474064
"55" 2007-03-22 73.529999 74.919998 73.470001 74.360001 27263800 47.1912
"56" 2007-03-23 74.660004 75.419998 74.650002 75.019997 26377900 47.610062
"57" 2007-03-26 75.440002 75.690002 74.510002 75.470001 27548800 47.895649
"58" 2007-03-27 75.370003 75.970001 75 75.709999 21797400 48.047955
"59" 2007-03-28 76.160004 76.25 75.209999 75.559998 24720100 47.952763
"60" 2007-03-29 75.830002 76.290001 75.57 76.239998 21695900 48.384304
"61" 2007-03-30 76.239998 76.349998 74.940002 75.449997 24020300 47.882946
"62" 2007-04-02 75.349998 76.400002 75.279999 76.160004 21474700 48.333553
"63" 2007-04-03 76.099998 76.970001 75.629997 76.800003 22426100 48.739723
"64" 2007-04-04 76.589996 77.220001 76.029999 77.110001 20873400 48.936455
"65" 2007-04-05 77.099998 77.309998 76.879997 77.220001 20273100 49.006264
"66" 2007-04-09 76.769997 77.720001 76.68 76.800003 17668200 48.739723
"67" 2007-04-10 76.800003 77.849998 76.75 77.57 18697700 49.228378
